item_id,level,rationale
A001,1,"B adds that the collected security-software information shapes follow-on behaviour, which is new context about the same discovery act and moves no boundary."
A002,0,"The only change is deletion of detection, platform, data-source and permissions boilerplate; the behavioural text is byte-identical."
A003,0,"B adds only a tautological restatement that a flood reduces availability plus a pluralisation fix, so nothing new is learned; torn with 1 and taking the lower."
A004,0,Section markers change from === to ### and detection/platform boilerplate is dropped; the MBR and VBR behaviours are unchanged.
A005,0,A single extra citation marker is the whole difference.
A006,0,Tool names gain hyperlinks and detection/platform boilerplate is removed; the described discovery behaviour is untouched.
A007,0,"Heading syntax changes, Net gains a link, and detection/platform boilerplate is dropped; all three OS examples are unchanged."
A008,1,"B adds Office 365 examples of disabling audit logging to the existing AWS example, illustrating the same cloud-logging-disable behaviour that A already framed generically."
A009,0,The only change is that the Impair Defenses hyperlink becomes plain text.
A010,0,The opening sentence is re-worded and two referenced technique names are updated to their new titles; the same local-system collection is denoted.
A011,1,"B appends network-device CLI history disabling, but A already defined the behaviour environment-neutrally as impairing any command interpreter's history, so this reads as another instance rather than a boundary move."
A012,0,A single citation is added to an unchanged explanation of the source command.
A013,0,Only two referenced technique names and links are updated to their renamed equivalents.
A014,1,"B generalises ""logs or captured files"" into ""artifacts used as defensive indicators"" and names their purpose, but A's non-exhaustive wording already covered these host artifacts; torn with 2 and taking the lower."
A015,0,System Firmware gains a hyperlink and platform/permissions boilerplate is removed.
A016,2,"B adds module stomping and DLL hollowing, where the payload is shellcode written over a legitimate loaded module rather than an injected DLL, which A's definition of writing and loading a malicious DLL did not cover."
A017,0,One citation is swapped for another; the Squiblydoo and COM-registration behaviour is unchanged.
A018,0,"Only detection, platform and data-source boilerplate is removed."
A019,0,Technique and tool names gain hyperlinks and detection/platform boilerplate is removed.
A020,0,A single citation label is renamed.
A021,0,"Only detection, platform, data-source and permissions boilerplate is removed."
A022,0,Two existing sentences are swapped in order and a paragraph break is inserted.
A023,0,B merges A's two duplicate consent-phishing paragraphs into one; no claim is added or removed.
A024,2,"B extends the technique from local and domain accounts to cloud tenant accounts with an Office 365 Global Admin example, so cloud account creation that A did not cover is now in scope."
A025,0,Only whitespace before citation markers changes.
A026,0,Referenced techniques gain hyperlinks and detection/platform boilerplate is removed.
A027,0,A comma is added and detection/platform boilerplate is removed.
A028,1,"B names email servers supporting phishing as a further example, which A's general ""servers used during targeting"" wording already covered."
A029,0,"A background fact is hedged from ""are digitally signed"" to ""may be digitally signed""; the abuse behaviour is unchanged."
A030,1,"B replaces the generic cloud paragraph with concrete AWS, GCP and Azure instance-listing commands, illustrating cloud discovery that A's Cloud section already placed in scope."
A031,3,"A defines side-loading as hijacking a WinSxS library manifest by replacing a legitimate library, while B defines it as planting and invoking a legitimate application positioned alongside a malicious payload, replacing the object acted on and the mechanism."
A032,0,"Heading syntax changes, one code block is split in two, and detection/platform boilerplate is removed."
A033,1,"B adds that gathered time may feed a time bomb or delayed execution, a new use of the same time-discovery act that A already said supports other techniques."
A034,0,"""will likely look"" becomes ""may look"" with no other change."
A035,0,"Only detection, platform and data-source boilerplate is removed."
A036,0,A single citation is added to an otherwise identical description.
A037,0,A tool name typo is corrected from Mauraena to Muraena.
A038,0,"Only detection, platform, data-source and permissions boilerplate is removed."
A039,0,B drops the detection guidance and platform and data-source metadata while the behavioural text stays identical.
A040,0,One technique hyperlink is retargeted to a different identifier.
A041,2,"B brings unchanged factory-default appliance credentials and publicly disclosed private keys into the technique, neither of which is the stolen or socially engineered credential that A confined the technique to."
A042,0,A single citation is added to an unchanged description.
A043,0,"Only detection, platform and data-source boilerplate is removed."
A044,0,A second vulnerability-list reference (CWE top 25) is cited alongside OWASP; no adversary behaviour is added or described differently.
A045,3,"A defines the technique as exploiting vulnerabilities to bypass security features, paradigmatically disabling defensive software, while B expressly excludes directly disabling defenses and re-centres it on exploitation for concealment and log suppression."
A046,2,"B drops all of A's delaying behaviours (sleeps, scheduled delays, ping loops, API hammering) and keeps only time enumeration as a sandbox check, so sleep-to-outlast-analysis observations leave the technique while its core check survives."
A047,0,One citation label is renamed.
A048,1,"The technique is reframed from DCShadow itself to rogue domain controller registration with DCShadow as one method, but the mechanism described is identical so no observation changes tag."
A049,1,"B generalises the named mail clients to ""most email clients"" and adds persistence-after-password-reset and MAPI rule hiding, all elaborations of setting up a forwarding rule that A already framed generically."
